,5 Sensors,5 Sensors,5 Sensors,10 Sensors,10 Sensors,10 Sensors,20 Sensors,20 Sensors,20 Sensors,29 Sensors,29 Sensors,29 Sensors
,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score
label,,,,,,,,,,,,
0,4.41257584114727e-05,1.0,8.824762282966002e-05,4.3045930007317805e-05,1.0,8.608815426997245e-05,4.3178825104168914e-05,1.0,8.635392154746227e-05,4.332661770758866e-05,1.0,8.66494811862314e-05
1,1.0,0.5688410277875551,0.7251735742655308,1.0,0.5580247148469829,0.7163233157078485,1.0,0.5593850778641349,0.7174431585946889,1.0,0.5608881363026665,0.7186781976974507
accuracy,0.568849230886312,0.568849230886312,0.568849230886312,0.5580331237336023,0.5580331237336023,0.5580331237336023,0.5593934608689034,0.5593934608689034,0.5593934608689034,0.5608964907107048,0.5608964907107048,0.5608964907107048
log_loss,0.5798637784480026,,,0.5783154694485826,,,0.5779317755063639,,,0.573237383337823,,
macro avg,0.5000220628792057,0.7844205138937775,0.3626309109441802,0.5000215229650037,0.7790123574234915,0.35820470193105924,0.500021589412552,0.7796925389320675,0.35876475625811816,0.5000216633088538,0.7804440681513333,0.35938242358931843
roc_auc,0.6975237587876597,,,0.6998925027825607,,,0.6450950827157793,,,0.7079738201466909,,
weighted avg,0.9999809751453231,0.568849230886312,0.7251597790138371,0.9999809751247788,0.5580331237336021,0.7163096887973824,0.9999809751273072,0.5593934608689034,0.7174295103834909,0.999980975130119,0.5608964907107049,0.7186645259943996
