,5 Sensors,5 Sensors,5 Sensors,10 Sensors,10 Sensors,10 Sensors,20 Sensors,20 Sensors,20 Sensors,29 Sensors,29 Sensors,29 Sensors
,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score
label,,,,,,,,,,,,
0,4.518957024718695e-05,1.0,9.03750564844103e-05,4.567461404951128e-05,1.0,9.134505594884677e-05,4.240162822252374e-05,1.0,8.479966080135679e-05,4.3765591491969016e-05,1.0,8.7527352297593e-05
1,1.0,0.5789914287616892,0.733368678531407,1.0,0.5834625519649159,0.7369451853987936,1.0,0.5513085170140507,0.7107657967032966,1.0,0.5652926683092495,0.7222836722538927
accuracy,0.5789994387420211,0.5789994387420211,0.5789994387420211,0.5834704768790251,0.5834704768790251,0.5834704768790251,0.5513170536809961,0.5513170536809961,0.5513170536809961,0.5653009389180088,0.5653009389180088,0.5653009389180088
log_loss,0.5805317151409223,,,0.5766427698319782,,,0.5795786662591136,,,0.5744148559203428,,
macro avg,0.5000225947851236,0.7894957143808445,0.3667295267939457,0.5000228373070248,0.791731275982458,0.36851826522737124,0.5000212008141113,0.7756542585070254,0.355425298182049,0.500021882795746,0.7826463341546248,0.3611855998030951
roc_auc,0.7148969263406235,,,0.7214466461819462,,,0.6531002958551736,,,0.6576427667690903,,
weighted avg,0.999980975165563,0.5789994387420212,0.7333547274026416,0.9999809751747912,0.5834704768790251,0.7369311662429572,0.9999809751125204,0.5513170536809961,0.7107522755039732,0.9999809751384707,0.5653009389180088,0.7222699319708874
