,5 Sensors,5 Sensors,5 Sensors,10 Sensors,10 Sensors,10 Sensors,15 Sensors,15 Sensors,15 Sensors
,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score
label,,,,,,,,,
0,0.7917239397691279,0.6183719555906952,0.6620842096235464,0.791620238952897,0.6195379661122733,0.6626954698315842,0.7914238428981303,0.6230503220566418,0.6646403301452517
1,0.258492554870088,0.2964713137180359,0.23871552410144659,0.2585217104272082,0.2955762311126907,0.23830998188396435,0.25876493023195896,0.29293999195037773,0.23733613093042152
accuracy,0.5687888819131328,0.5687888819131328,0.5687888819131328,0.5692831459391587,0.5692831459391587,0.5692831459391587,0.5709206095542492,0.5709206095542492,0.5709206095542492
log_loss,0.6885710060144847,,,0.6885057717505477,,,0.6884966421145081,,
macro avg,0.5251082473196079,0.45742163465436564,0.4503998668624965,0.5250709746900526,0.457557098612482,0.4505027258577743,0.5250943865650446,0.45799515700350973,0.4509882305378366
roc_auc,0.536157254491056,,,0.5361402377085512,,,0.5359509274277389,,
weighted avg,0.8130839282077154,0.5687888819131328,0.652499656079197,0.8130694966054779,0.5692831459391587,0.6528345701967087,0.8131477585728583,0.5709206095542492,0.6540135193829638
