,5 Sensors,5 Sensors,5 Sensors,10 Sensors,10 Sensors,10 Sensors,20 Sensors,20 Sensors,20 Sensors,29 Sensors,29 Sensors,29 Sensors
,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score
label,,,,,,,,,,,,
0,4.4414834554741284e-05,1.0,8.882572392965002e-05,4.355021339604564e-05,1.0,8.709663371510691e-05,4.3073742246726395e-05,1.0,8.614377395873714e-05,4.3213344280713883e-05,1.0,8.642295393656556e-05
1,1.0,0.5716473710746868,0.7274499122329157,1.0,0.5631427239604638,0.7205263029771903,1.0,0.5583101056897422,0.716558409845673,1.0,0.559737059903538,0.7177325900535503
accuracy,0.5716555207808145,0.5716555207808145,0.5716555207808145,0.5631510354734068,0.5631510354734068,0.5631510354734068,0.5583185091466025,0.5583185091466025,0.5583185091466025,0.5597454362116038,0.5597454362116038,0.5597454362116038
log_loss,0.5805202365112186,,,0.5781532649011942,,,0.5769239513205779,,,0.5736733975123758,,
macro avg,0.5000222074172773,0.7858236855373434,0.36376936897842266,0.500021775106698,0.7815713619802319,0.3603066998054527,0.5000215368711234,0.7791550528448711,0.3583222768098159,0.5000216066721404,0.7798685299517689,0.3589095065037434
roc_auc,0.7275159581046242,,,0.712012100571733,,,0.6479703954565779,,,0.6863792463779146,,
weighted avg,0.999980975150823,0.5716555207808145,0.7274360736833109,0.999980975134373,0.5631510354734068,0.7205125961211607,0.9999809751253078,0.5583185091466025,0.7165447784634359,0.9999809751279639,0.5597454362116039,0.7177189363370312
